Country,Sct,Commodity,Description,Formula / Source,Currency / Unit,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Japan,"C. Payments based on current A/An/R/I, 
production required, single commodity",Sugar,Sugar specific programmes in C,TOTAL table,JPY bn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Japan,"D.  Payments based on non-current A/An/R/I, production required",Sugar,Sugar specific programmes in D,TOTAL table,JPY bn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Japan,IV. % Producer Single Commodity Transfers,Sugar,Sugar specific transfers  / value of receipts from Sugar production,%SCTRS = 100* SCTRS / ( (PPRS*QPRS) + A.2RS + BRS + CRS + DRS),%,68.23,65.69,61.35,53.78,60.22,60.92,62.18,62.63,60.41,59.70,58.80,57.38,63.68,66.03,60.06,60.27,59.46,63.57,60.03,53.75,53.53,60.15,61.59,54.62,53.79,55.04,56.24,57.74,57.16,56.99,58.15,55.87,57.78,56.13,57.95
China,I.  Level of production   ,Sugar,,MPS table,000 tons,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,703.28","7,311.24","7,850.40","8,241.12","9,467.64","10,012.56","8,964.36","8,193.60","9,079.56","10,812.84","10,828.18","10,781.88","10,396.56","11,111.04","12,678.12","14,898.00","13,870.00","13,294.65","13,732.08","14,773.68","15,384.12","15,073.32","14,036.16","13,659.00","13,847.58","14,324.88","14,599.32","14,246.02"
China,II.  Value of production (at farm gate)  ,Sugar,,MPS table,CNY mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,179.74","12,697.19","16,551.26","17,732.14","19,913.60","18,272.92","12,774.21","12,481.58","14,345.70","15,047.87","14,022.49","16,801.76","22,508.55","24,185.03","27,596.04","32,353.49","36,478.10","49,987.88","55,889.57","57,715.84","56,152.04","50,872.46","51,887.05","55,979.09","56,775.08","57,084.65","58,883.92","59,240.16"
China,III. Producer Single Commodity Transfers,Sugar,"Includes Sugar specific programmes in A, B, C and D",A+B+C+D,CNY mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-2,279.41",723.95,"2,500.60","2,621.20","4,669.51","1,261.95","3,118.54","5,900.35",291.73,"3,234.66",-298.15,"3,197.98","7,691.39","-3,222.65","7,068.71",-57.50,"18,187.24","13,270.75","6,906.60","12,241.09","23,708.49","19,740.26","28,661.46","31,051.94","22,373.54","32,196.28","35,881.40","36,045.07"
China,A.  Support based on commodity outputs,Sugar,,A1+A2,CNY mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-2,279.41",723.95,"2,500.60","2,621.20","4,669.51","1,261.95","3,118.54","5,900.35",291.73,"3,234.66",-298.15,"3,172.98","7,666.39","-3,247.65","7,043.71",-157.50,"18,087.24","13,270.75","6,906.60","12,241.09","23,708.49","19,740.26","28,661.46","31,051.94","22,373.54","32,196.28","35,881.40","36,045.07"
China,               A1.  Market Price Support  ,Sugar,MPS for Sugar,TOTAL table,CNY mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-2,279.41",723.95,"2,500.60","2,621.20","4,669.51","1,261.95","3,118.54","5,900.35",291.73,"3,234.66",-298.15,"3,172.98","7,666.39","-3,247.65","7,043.71",-157.50,"18,087.24","13,270.75","6,906.60","12,241.09","23,708.49","19,740.26","28,661.46","31,051.94","22,373.54","32,196.28","35,881.40","36,045.07"
China,               A2.  Payments based on output,Sugar,Sugar specific programmes in A2,TOTAL table,CNY mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
China,B.  Payments based on input use,Sugar,,B1+B2+B3,CNY mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,25.00,25.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
China,                B1.  Variable input use,Sugar,Sugar specific programmes in B1,TOTAL table,CNY mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
China,                B2.  Fixed capital formation,Sugar,Sugar specific programmes in B2,TOTAL table,CNY mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,25.00,25.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
China,                B3.  On-farm services,Sugar,Sugar specific programmes in B3,TOTAL table,CNY mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
China,"C. Payments based on current A/An/R/I, 
production required, single commodity",Sugar,Sugar specific programmes in C,TOTAL table,CNY mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
China,"D.  Payments based on non-current A/An/R/I, production required",Sugar,Sugar specific programmes in D,TOTAL table,CNY mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
China,IV. % Producer Single Commodity Transfers,Sugar,Sugar specific transfers  / value of receipts from Sugar production,%SCTRS = 100* SCTRS / ( (PPRS*QPRS) + A.2RS + BRS + CRS + DRS),%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.83,5.70,15.11,14.78,23.45,6.91,24.41,47.27,2.03,21.50,-2.13,19.01,34.13,-13.31,25.59,-0.18,49.72,26.55,12.36,21.21,42.22,38.80,55.24,55.47,39.41,56.40,60.94,60.85
Chile,I.  Level of production   ,Sugar,,MPS table,000 tons,0.00,0.00,0.00,0.00,342.75,336.42,483.00,449.28,466.32,532.80,443.11,360.24,469.70,419.90,442.68,432.51,478.84,293.04,341.79,389.72,329.97,241.82,185.00,171.00,234.41,321.93,300.96,311.13,285.79,341.53,271.70,292.13,391.79,216.71,"1,466.79"
Chile,II.  Value of production (at farm gate)  ,Sugar,,MPS table,CLP mn,0.00,0.00,0.00,0.00,"57,830.78","55,737.39","76,111.74","85,279.33","100,799.73","115,268.17","100,279.12","84,807.41","123,317.80","115,694.35","122,753.32","125,389.80","154,840.38","94,650.98","104,201.46","110,615.68","98,781.24","73,643.75","58,161.00","60,076.92","98,186.03","154,081.36","135,891.66","128,137.31","123,013.59","150,040.10","115,202.95","115,157.75","149,354.25","82,609.98","559,152.63"
Chile,III. Producer Single Commodity Transfers,Sugar,"Includes Sugar specific programmes in A, B, C and D",A+B+C+D,CLP mn,0.00,0.00,0.00,0.00,"11,291.99","14,064.71","19,151.27","25,530.77","29,955.53","26,396.82","25,692.57","29,283.85","51,154.17","57,369.89","57,440.07","38,199.54","53,584.79","35,376.91","43,456.26","39,401.68","8,980.11","6,694.89","1,966.80","2,031.59","3,320.30","5,210.48","4,595.37","4,333.15","4,159.88","5,073.82","3,895.75","3,894.22","5,050.63","2,793.57","18,908.54"
Chile,A.  Support based on commodity outputs,Sugar,,A1+A2,CLP mn,0.00,0.00,0.00,0.00,"11,291.99","14,064.71","19,151.27","25,530.77","29,955.53","26,396.82","25,692.57","29,283.85","51,154.17","57,369.89","57,440.07","38,199.54","53,584.79","35,376.91","43,456.26","39,401.68","8,980.11","6,694.89","1,966.80","2,031.59","3,320.30","5,210.48","4,595.37","4,333.15","4,159.88","5,073.82","3,895.75","3,894.22","5,050.63","2,793.57","18,908.54"
Chile,               A1.  Market Price Support  ,Sugar,MPS for Sugar,TOTAL table,CLP mn,0.00,0.00,0.00,0.00,"11,291.99","14,064.71","19,151.27","25,530.77","29,955.53","26,396.82","25,692.57","29,283.85","51,154.17","57,369.89","57,440.07","38,199.54","53,584.79","35,376.91","43,456.26","39,401.68","8,980.11","6,694.89","1,966.80","2,031.59","3,320.30","5,210.48","4,595.37","4,333.15","4,159.88","5,073.82","3,895.75","3,894.22","5,050.63","2,793.57","18,908.54"
Chile,               A2.  Payments based on output,Sugar,Sugar specific programmes in A2,TOTAL table,CLP mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chile,B.  Payments based on input use,Sugar,,B1+B2+B3,CLP mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chile,                B1.  Variable input use,Sugar,Sugar specific programmes in B1,TOTAL table,CLP mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chile,                B2.  Fixed capital formation,Sugar,Sugar specific programmes in B2,TOTAL table,CLP mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chile,                B3.  On-farm services,Sugar,Sugar specific programmes in B3,TOTAL table,CLP mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chile,"C. Payments based on current A/An/R/I, 
production required, single commodity",Sugar,Sugar specific programmes in C,TOTAL table,CLP mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chile,"D.  Payments based on non-current A/An/R/I, production required",Sugar,Sugar specific programmes in D,TOTAL table,CLP mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chile,IV. % Producer Single Commodity Transfers,Sugar,Sugar specific transfers  / value of receipts from Sugar production,%SCTRS = 100* SCTRS / ( (PPRS*QPRS) + A.2RS + BRS + CRS + DRS),%,0.00,0.00,0.00,0.00,19.53,25.23,25.16,29.94,29.72,22.90,25.62,34.53,41.48,49.59,46.79,30.46,34.61,37.38,41.70,35.62,9.09,9.09,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38
Brazil,I.  Level of production   ,Sugar,,MPS table,000 tons,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"303,699.50","317,105.98","331,612.69","345,254.97","333,847.72","326,121.01","344,292.92","364,389.42","396,012.16","415,205.84","422,956.65","477,410.66","549,707.31","645,300.18","689,895.02","722,495.50","715,143.56","675,014.65","658,822.27","634,767.00","665,586.20","657,184.00","633,261.91","620,435.39","642,717.77","642,069.68"
Brazil,II.  Value of production (at farm gate)  ,Sugar,,MPS table,BRL mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,797.00","4,808.91","5,536.55","5,841.43","5,026.08","6,090.58","8,690.24","9,528.18","11,906.44","11,815.37","13,402.44","18,720.07","20,370.78","20,499.57","25,470.35","37,264.51","46,392.55","43,724.07","39,915.30","33,140.13","37,834.14","46,198.94","49,077.27","43,346.72","47,361.87","53,858.41"
Brazil,III. Producer Single Commodity Transfers,Sugar,"Includes Sugar specific programmes in A, B, C and D",A+B+C+D,BRL mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-6,851.39","-5,739.50","-6,160.02","-3,687.85","-6,159.29",236.77,234.56,98.23,125.26,114.55,70.17,164.84,187.59,213.73,210.99,576.50,285.08,326.63,370.54,132.13,134.83,132.70,107.16,52.14,48.58,30.11
Brazil,A.  Support based on commodity outputs,Sugar,,A1+A2,BRL mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-6,919.56","-5,827.64","-6,273.12","-3,847.32","-6,497.44",1.52,1.14,0.16,0.21,0.00,20.22,75.93,65.60,69.61,92.04,83.09,62.17,89.33,64.28,16.82,3.12,1.90,2.99,1.64,0.37,0.30
Brazil,               A1.  Market Price Support  ,Sugar,MPS for Sugar,TOTAL table,BRL mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-6,919.83","-5,827.66","-6,273.49","-3,849.30","-6,498.19",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,               A2.  Payments based on output,Sugar,Sugar specific programmes in A2,TOTAL table,BRL mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.02,0.36,1.98,0.75,1.52,1.14,0.16,0.21,0.00,20.22,75.93,65.60,69.61,92.04,83.09,62.17,89.33,64.28,16.82,3.12,1.90,2.99,1.64,0.37,0.30
Brazil,B.  Payments based on input use,Sugar,,B1+B2+B3,BRL mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.18,88.14,113.11,159.47,338.14,235.25,233.42,98.08,125.05,114.55,49.96,88.91,121.99,144.12,118.94,493.41,222.91,237.31,306.27,115.31,131.71,130.80,104.17,50.51,48.20,29.80
Brazil,                B1.  Variable input use,Sugar,Sugar specific programmes in B1,TOTAL table,BRL mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.18,88.14,113.11,159.47,338.14,235.25,233.42,98.08,125.05,114.55,49.96,88.91,121.99,144.12,118.94,493.41,222.91,237.31,306.27,115.31,131.71,130.80,104.17,50.51,48.20,29.80
Brazil,                B2.  Fixed capital formation,Sugar,Sugar specific programmes in B2,TOTAL table,BRL mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,                B3.  On-farm services,Sugar,Sugar specific programmes in B3,TOTAL table,BRL mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,"C. Payments based on current A/An/R/I, 
production required, single commodity",Sugar,Sugar specific programmes in C,TOTAL table,BRL mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,"D.  Payments based on non-current A/An/R/I, production required",Sugar,Sugar specific programmes in D,TOTAL table,BRL mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,IV. % Producer Single Commodity Transfers,Sugar,Sugar specific transfers  / value of receipts from Sugar production,%SCTRS = 100* SCTRS / ( (PPRS*QPRS) + A.2RS + BRS + CRS + DRS),%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-177.25,-117.20,-109.03,-61.43,-114.81,3.74,2.63,1.02,1.04,0.96,0.52,0.87,0.91,1.03,0.82,1.52,0.61,0.74,0.92,0.40,0.36,0.29,0.22,0.12,0.10,0.06
Australia,I.  Level of production   ,Sugar,,MPS table,000 tons,"3,137.46","3,200.75","3,423.19","3,533.49","3,270.43","2,895.31","3,967.40","4,064.71","4,733.83","4,643.32","5,089.33","5,344.03","4,798.17","5,229.79","3,995.52","4,787.52","5,182.52","4,843.36","5,025.00","4,860.03","4,825.28","4,572.90","4,448.64","4,293.12","3,465.32","3,535.25","4,128.00","4,204.80","4,389.15","4,723.20","4,611.84","4,512.00","4,536.00","4,111.68","4,176.00"
Australia,II.  Value of production (at farm gate)  ,Sugar,,MPS table,AUD mn,586.00,609.00,744.00,874.00,756.00,590.00,800.90,953.20,"1,207.70","1,168.70","1,186.40","1,247.70","1,044.10",881.90,656.70,989.10,"1,018.90",854.10,979.50,"1,031.80","1,221.00",861.00,"1,021.00","1,382.00","1,035.54","1,213.86","1,252.92","1,096.44","1,303.83","1,527.44","1,759.96","1,530.78","1,265.05","1,303.40","1,435.58"
Australia,III. Producer Single Commodity Transfers,Sugar,"Includes Sugar specific programmes in A, B, C and D",A+B+C+D,AUD mn,67.42,70.06,61.43,49.47,68.73,38.60,38.14,36.66,46.45,44.95,45.63,0.00,0.00,0.00,13.64,8.98,3.21,6.49,30.12,19.86,4.78,4.77,4.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,A.  Support based on commodity outputs,Sugar,,A1+A2,AUD mn,67.42,70.06,61.43,49.47,68.73,38.60,38.14,36.66,46.45,44.95,45.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,               A1.  Market Price Support  ,Sugar,MPS for Sugar,TOTAL table,AUD mn,67.42,70.06,61.43,49.47,68.73,38.60,38.14,36.66,46.45,44.95,45.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,               A2.  Payments based on output,Sugar,Sugar specific programmes in A2,TOTAL table,AUD mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,B.  Payments based on input use,Sugar,,B1+B2+B3,AUD mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,8.98,3.21,2.88,5.21,3.50,0.73,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,                B1.  Variable input use,Sugar,Sugar specific programmes in B1,TOTAL table,AUD mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,8.98,1.18,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,                B2.  Fixed capital formation,Sugar,Sugar specific programmes in B2,TOTAL table,AUD mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,                B3.  On-farm services,Sugar,Sugar specific programmes in B3,TOTAL table,AUD mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.03,1.44,5.21,3.50,0.73,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,"C. Payments based on current A/An/R/I, 
production required, single commodity",Sugar,Sugar specific programmes in C,TOTAL table,AUD mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.55,11.92,4.04,4.04,4.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,"D.  Payments based on non-current A/An/R/I, production required",Sugar,Sugar specific programmes in D,TOTAL table,AUD mn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.61,14.36,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,IV. % Producer Single Commodity Transfers,Sugar,Sugar specific transfers  / value of receipts from Sugar production,%SCTRS = 100* SCTRS / ( (PPRS*QPRS) + A.2RS + BRS + CRS + DRS),%,11.50,11.50,8.26,5.66,9.09,6.54,4.76,3.85,3.85,3.85,3.85,0.00,0.00,0.00,2.03,0.90,0.31,0.75,2.98,1.89,0.39,0.55,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United Kingdom,I.  Level of production   ,Sugar,,MPS table,000 tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,363.55","1,080.00","1,081.00",970.72
United Kingdom,II.  Value of production (at farm gate)  ,Sugar,,MPS table,GBP mln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.06,214.27,207.99,184.39
United Kingdom,III. Producer Single Commodity Transfers,Sugar,"Includes Sugar specific programmes in A, B, C and D",A+B+C+D,GBP mln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.28,2.57,0.42
United Kingdom,A.  Support based on commodity outputs,Sugar,,A1+A2,GBP mln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.28,2.57,0.42
United Kingdom,               A1.  Market Price Support  ,Sugar,MPS for Sugar,TOTAL table,GBP mln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.28,2.57,0.42
