country,Commodity,description,year,unit,value,Currency / Unit
BOLIVIA,Sugar,Payments Based on Input Use,2006,BOBmn,0,BOBmn
BOLIVIA,Sugar,Payments Based on Output,2006,BOBmn,0,BOBmn
BOLIVIA,Sugar,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,0,%
BOLIVIA,Sugar,Producer Single Commodity Transfers (PSCT),2006,BOBmn,0,BOBmn
BOLIVIA,Sugar,Support Based on Commodity Outputs,2006,BOBmn,0,BOBmn
BOLIVIA,Sugar,Value of Production (at farm gate),2006,BOBmn,901.57,BOBmn
DOMINICAN REPUBLIC,Beef and veal,Fixed Capital Formation,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Level of Production,2006,000t,84.23,000t
DOMINICAN REPUBLIC,Beef and veal,Market Price Support (MPS),2006,DOPmn,13715.1,DOPmn
DOMINICAN REPUBLIC,Beef and veal,On-farm Services,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Beef and veal,"Payments Based on Current A/AN/R/I, Production Required",2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Payments Based on Input Use,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Beef and veal,"Payments Based on Non-current A/AN/R/I, Production Required",2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Payments Based on Output,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,83.76,%
DOMINICAN REPUBLIC,Beef and veal,Producer Single Commodity Transfers (PSCT),2006,DOPmn,13715.1,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Support Based on Commodity Outputs,2006,DOPmn,13715.1,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Value of Production (at farm gate),2006,DOPmn,16373.45,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Variable Input Use,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,Fixed Capital Formation,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,Level of Production,2006,000t,75.75,000t
DOMINICAN REPUBLIC,Pig meat,Market Price Support (MPS),2006,DOPmn,4603.93,DOPmn
DOMINICAN REPUBLIC,Pig meat,On-farm Services,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,"Payments Based on Current A/AN/R/I, Production Required",2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,Payments Based on Input Use,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,"Payments Based on Non-current A/AN/R/I, Production Required",2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,Payments Based on Output,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,62.52,%
DOMINICAN REPUBLIC,Pig meat,Producer Single Commodity Transfers (PSCT),2006,DOPmn,4603.93,DOPmn
DOMINICAN REPUBLIC,Pig meat,Support Based on Commodity Outputs,2006,DOPmn,4603.93,DOPmn
DOMINICAN REPUBLIC,Pig meat,Value of Production (at farm gate),2006,DOPmn,7363.88,DOPmn
DOMINICAN REPUBLIC,Pig meat,Variable Input Use,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Poultry meat,Fixed Capital Formation,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Poultry meat,Level of Production,2006,000t,136.28,000t
DOMINICAN REPUBLIC,Poultry meat,Market Price Support (MPS),2006,DOPmn,12078.05,DOPmn
DOMINICAN REPUBLIC,Poultry meat,On-farm Services,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Poultry meat,"Payments Based on Current A/AN/R/I, Production Required",2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Poultry meat,Payments Based on Input Use,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Poultry meat,"Payments Based on Non-current A/AN/R/I, Production Required",2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Poultry meat,Payments Based on Output,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Poultry meat,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,88.26,%
DOMINICAN REPUBLIC,Poultry meat,Producer Single Commodity Transfers (PSCT),2006,DOPmn,12078.05,DOPmn
DOMINICAN REPUBLIC,Poultry meat,Support Based on Commodity Outputs,2006,DOPmn,12078.05,DOPmn
DOMINICAN REPUBLIC,Poultry meat,Value of Production (at farm gate),2006,DOPmn,13685.35,DOPmn
DOMINICAN REPUBLIC,Poultry meat,Variable Input Use,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Sugar,Fixed Capital Formation,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Sugar,Level of Production,2006,000t,518.44,000t
DOMINICAN REPUBLIC,Sugar,Market Price Support (MPS),2006,DOPmn,378.78,DOPmn
DOMINICAN REPUBLIC,Sugar,On-farm Services,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Sugar,"Payments Based on Current A/AN/R/I, Production Required",2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Sugar,Payments Based on Input Use,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Sugar,"Payments Based on Non-current A/AN/R/I, Production Required",2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Sugar,Payments Based on Output,2006,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Sugar,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,8.04,%
DOMINICAN REPUBLIC,Sugar,Producer Single Commodity Transfers (PSCT),2006,DOPmn,378.78,DOPmn
DOMINICAN REPUBLIC,Sugar,Support Based on Commodity Outputs,2006,DOPmn,378.78,DOPmn
DOMINICAN REPUBLIC,Sugar,Value of Production (at farm gate),2006,DOPmn,4713.12,DOPmn
DOMINICAN REPUBLIC,Sugar,Variable Input Use,2006,DOPmn,0,DOPmn
ECUADOR,Beef and veal,Fixed Capital Formation,2006,USDmn,0,USDmn
ECUADOR,Beef and veal,Level of Production,2006,000t,310.31,000t
ECUADOR,Beef and veal,Market Price Support (MPS),2006,USDmn,39.08,USDmn
ECUADOR,Beef and veal,On-farm Services,2006,USDmn,0,USDmn
ECUADOR,Beef and veal,"Payments Based on Current A/AN/R/I, Production Required",2006,USDmn,0,USDmn
ECUADOR,Beef and veal,Payments Based on Input Use,2006,USDmn,0,USDmn
ECUADOR,Beef and veal,"Payments Based on Non-current A/AN/R/I, Production Required",2006,USDmn,0,USDmn
ECUADOR,Beef and veal,Payments Based on Output,2006,USDmn,0,USDmn
ECUADOR,Beef and veal,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,10.32,%
ECUADOR,Beef and veal,Producer Single Commodity Transfers (PSCT),2006,USDmn,39.08,USDmn
ECUADOR,Beef and veal,Support Based on Commodity Outputs,2006,USDmn,39.08,USDmn
ECUADOR,Beef and veal,Value of Production (at farm gate),2006,USDmn,378.58,USDmn
ECUADOR,Beef and veal,Variable Input Use,2006,USDmn,0,USDmn
ECUADOR,Pig meat,Fixed Capital Formation,2006,USDmn,0,USDmn
ECUADOR,Pig meat,Level of Production,2006,000t,122.33,000t
ECUADOR,Pig meat,Market Price Support (MPS),2006,USDmn,76.96,USDmn
ECUADOR,Pig meat,On-farm Services,2006,USDmn,0,USDmn
ECUADOR,Pig meat,"Payments Based on Current A/AN/R/I, Production Required",2006,USDmn,0,USDmn
ECUADOR,Pig meat,Payments Based on Input Use,2006,USDmn,0,USDmn
ECUADOR,Pig meat,"Payments Based on Non-current A/AN/R/I, Production Required",2006,USDmn,0,USDmn
ECUADOR,Pig meat,Payments Based on Output,2006,USDmn,0,USDmn
ECUADOR,Pig meat,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,25.93,%
ECUADOR,Pig meat,Producer Single Commodity Transfers (PSCT),2006,USDmn,76.96,USDmn
ECUADOR,Pig meat,Support Based on Commodity Outputs,2006,USDmn,76.96,USDmn
ECUADOR,Pig meat,Value of Production (at farm gate),2006,USDmn,296.84,USDmn
ECUADOR,Pig meat,Variable Input Use,2006,USDmn,0,USDmn
GUATEMALA,Beef and veal,Level of Production,2006,000t,141.14,000t
GUATEMALA,Beef and veal,Market Price Support (MPS),2006,GTQmn,-42.64,GTQmn
GUATEMALA,Beef and veal,Payments Based on Input Use,2006,GTQmn,0,GTQmn
GUATEMALA,Beef and veal,Payments Based on Output,2006,GTQmn,0,GTQmn
GUATEMALA,Beef and veal,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,-1.85,%
GUATEMALA,Beef and veal,Producer Single Commodity Transfers (PSCT),2006,GTQmn,-42.64,GTQmn
GUATEMALA,Beef and veal,Support Based on Commodity Outputs,2006,GTQmn,-42.64,GTQmn
GUATEMALA,Beef and veal,Value of Production (at farm gate),2006,GTQmn,2308.59,GTQmn
GUATEMALA,Pig meat,Level of Production,2006,000t,29.81,000t
GUATEMALA,Pig meat,Market Price Support (MPS),2006,GTQmn,-81.8,GTQmn
GUATEMALA,Pig meat,Payments Based on Input Use,2006,GTQmn,0,GTQmn
GUATEMALA,Pig meat,Payments Based on Output,2006,GTQmn,0,GTQmn
GUATEMALA,Pig meat,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,-13.77,%
GUATEMALA,Pig meat,Producer Single Commodity Transfers (PSCT),2006,GTQmn,-81.8,GTQmn
GUATEMALA,Pig meat,Support Based on Commodity Outputs,2006,GTQmn,-81.8,GTQmn
GUATEMALA,Pig meat,Value of Production (at farm gate),2006,GTQmn,593.9,GTQmn
GUATEMALA,Poultry meat,Level of Production,2006,000t,172.92,000t
GUATEMALA,Poultry meat,Market Price Support (MPS),2006,GTQmn,985.1,GTQmn
GUATEMALA,Poultry meat,Payments Based on Input Use,2006,GTQmn,0,GTQmn
GUATEMALA,Poultry meat,Payments Based on Output,2006,GTQmn,0,GTQmn
GUATEMALA,Poultry meat,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,31.39,%
GUATEMALA,Poultry meat,Producer Single Commodity Transfers (PSCT),2006,GTQmn,985.1,GTQmn
GUATEMALA,Poultry meat,Support Based on Commodity Outputs,2006,GTQmn,985.1,GTQmn
GUATEMALA,Poultry meat,Value of Production (at farm gate),2006,GTQmn,3138.26,GTQmn
GUATEMALA,Sugar,Level of Production,2006,000t,1761.59,000t
GUATEMALA,Sugar,Market Price Support (MPS),2006,GTQmn,888.63,GTQmn
GUATEMALA,Sugar,Payments Based on Input Use,2006,GTQmn,0,GTQmn
GUATEMALA,Sugar,Payments Based on Output,2006,GTQmn,0,GTQmn
GUATEMALA,Sugar,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,44.48,%
GUATEMALA,Sugar,Producer Single Commodity Transfers (PSCT),2006,GTQmn,888.63,GTQmn
GUATEMALA,Sugar,Support Based on Commodity Outputs,2006,GTQmn,888.63,GTQmn
GUATEMALA,Sugar,Value of Production (at farm gate),2006,GTQmn,1998,GTQmn
HAITI,Beef and veal,Level of Production,2006,000t,43.5,000t
HAITI,Beef and veal,Market Price Support (MPS),2006,HTGmn,2082.3,HTGmn
HAITI,Beef and veal,"Payments Based on Current A/AN/R/I, Production Required",2006,HTGmn,0,HTGmn
HAITI,Beef and veal,Payments Based on Input Use,2006,HTGmn,0,HTGmn
HAITI,Beef and veal,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,1.91,%
HAITI,Beef and veal,Producer Single Commodity Transfers (PSCT),2006,HTGmn,2082.3,HTGmn
HAITI,Beef and veal,Support Based on Commodity Outputs,2006,HTGmn,2082.3,HTGmn
HAITI,Beef and veal,Value of Production (at farm gate),2006,HTGmn,4748.42,HTGmn
JAMAICA,Beef and veal,Fixed Capital Formation,2006,JMDmn,0,JMDmn
JAMAICA,Beef and veal,Level of Production,2006,000t,6,000t
JAMAICA,Beef and veal,Market Price Support (MPS),2006,JMDmn,57.57,JMDmn
JAMAICA,Beef and veal,Payments Based on Input Use,2006,JMDmn,0.07,JMDmn
JAMAICA,Beef and veal,Payments Based on Output,2006,JMDmn,0,JMDmn
JAMAICA,Beef and veal,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,4.11,%
JAMAICA,Beef and veal,Producer Single Commodity Transfers (PSCT),2006,JMDmn,71.09,JMDmn
JAMAICA,Beef and veal,Support Based on Commodity Outputs,2006,JMDmn,71.02,JMDmn
JAMAICA,Beef and veal,Value of Production (at farm gate),2006,JMDmn,1716.86,JMDmn
JAMAICA,Beef and veal,Variable Input Use,2006,JMDmn,0.07,JMDmn
JAMAICA,Pig meat,Fixed Capital Formation,2006,JMDmn,0,JMDmn
JAMAICA,Pig meat,Level of Production,2006,000t,7.42,000t
JAMAICA,Pig meat,Market Price Support (MPS),2006,JMDmn,0,JMDmn
JAMAICA,Pig meat,Payments Based on Input Use,2006,JMDmn,0,JMDmn
JAMAICA,Pig meat,Payments Based on Output,2006,JMDmn,0,JMDmn
JAMAICA,Pig meat,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,2.08,%
JAMAICA,Pig meat,Producer Single Commodity Transfers (PSCT),2006,JMDmn,16.33,JMDmn
JAMAICA,Pig meat,Support Based on Commodity Outputs,2006,JMDmn,16.33,JMDmn
JAMAICA,Pig meat,Value of Production (at farm gate),2006,JMDmn,767.23,JMDmn
JAMAICA,Pig meat,Variable Input Use,2006,JMDmn,0,JMDmn
JAMAICA,Poultry meat,Fixed Capital Formation,2006,JMDmn,0,JMDmn
JAMAICA,Poultry meat,Level of Production,2006,000t,104.01,000t
JAMAICA,Poultry meat,Market Price Support (MPS),2006,JMDmn,9248.87,JMDmn
JAMAICA,Poultry meat,On-farm Services,2006,JMDmn,0,JMDmn
JAMAICA,Poultry meat,Payments Based on Input Use,2006,JMDmn,10.54,JMDmn
JAMAICA,Poultry meat,Payments Based on Output,2006,JMDmn,0,JMDmn
JAMAICA,Poultry meat,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,63.99,%
JAMAICA,Poultry meat,Producer Single Commodity Transfers (PSCT),2006,JMDmn,9478.57,JMDmn
JAMAICA,Poultry meat,Support Based on Commodity Outputs,2006,JMDmn,9468.03,JMDmn
JAMAICA,Poultry meat,Value of Production (at farm gate),2006,JMDmn,14582.48,JMDmn
JAMAICA,Poultry meat,Variable Input Use,2006,JMDmn,10.54,JMDmn
JAMAICA,Sugar,Fixed Capital Formation,2006,JMDmn,0,JMDmn
JAMAICA,Sugar,Level of Production,2006,000t,1745.29,000t
JAMAICA,Sugar,Market Price Support (MPS),2006,JMDmn,617.92,JMDmn
JAMAICA,Sugar,On-farm Services,2006,JMDmn,0,JMDmn
JAMAICA,Sugar,Payments Based on Input Use,2006,JMDmn,9.35,JMDmn
JAMAICA,Sugar,Payments Based on Output,2006,JMDmn,65.84,JMDmn
JAMAICA,Sugar,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,18.88,%
JAMAICA,Sugar,Producer Single Commodity Transfers (PSCT),2006,JMDmn,693.11,JMDmn
JAMAICA,Sugar,Support Based on Commodity Outputs,2006,JMDmn,683.76,JMDmn
JAMAICA,Sugar,Value of Production (at farm gate),2006,JMDmn,3595.29,JMDmn
JAMAICA,Sugar,Variable Input Use,2006,JMDmn,9.35,JMDmn
SURINAME,Beef and veal,Level of Production,2006,000t,1.61,000t
SURINAME,Beef and veal,Market Price Support (MPS),2006,SRDmn,6.26,SRDmn
SURINAME,Beef and veal,On-farm Services,2006,SRDmn,0,SRDmn
SURINAME,Beef and veal,"Payments Based on Current A/AN/R/I, Production Required",2006,SRDmn,0,SRDmn
SURINAME,Beef and veal,Payments Based on Input Use,2006,SRDmn,0,SRDmn
SURINAME,Beef and veal,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,38.87,%
SURINAME,Beef and veal,Producer Single Commodity Transfers (PSCT),2006,SRDmn,6.26,SRDmn
SURINAME,Beef and veal,Support Based on Commodity Outputs,2006,SRDmn,6.26,SRDmn
SURINAME,Beef and veal,Value of Production (at farm gate),2006,SRDmn,16.1,SRDmn
SURINAME,Beef and veal,Variable Input Use,2006,SRDmn,0,SRDmn
SURINAME,Pig meat,Level of Production,2006,000t,1.66,000t
SURINAME,Pig meat,Market Price Support (MPS),2006,SRDmn,4.84,SRDmn
SURINAME,Pig meat,On-farm Services,2006,SRDmn,0,SRDmn
SURINAME,Pig meat,"Payments Based on Current A/AN/R/I, Production Required",2006,SRDmn,0,SRDmn
SURINAME,Pig meat,Payments Based on Input Use,2006,SRDmn,0,SRDmn
SURINAME,Pig meat,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,43.78,%
SURINAME,Pig meat,Producer Single Commodity Transfers (PSCT),2006,SRDmn,4.84,SRDmn
SURINAME,Pig meat,Support Based on Commodity Outputs,2006,SRDmn,4.84,SRDmn
SURINAME,Pig meat,Value of Production (at farm gate),2006,SRDmn,11.05,SRDmn
SURINAME,Pig meat,Variable Input Use,2006,SRDmn,0,SRDmn
SURINAME,Poultry meat,Level of Production,2006,000t,8.05,000t
SURINAME,Poultry meat,Market Price Support (MPS),2006,SRDmn,13.6,SRDmn
SURINAME,Poultry meat,On-farm Services,2006,SRDmn,0,SRDmn
SURINAME,Poultry meat,"Payments Based on Current A/AN/R/I, Production Required",2006,SRDmn,0,SRDmn
SURINAME,Poultry meat,Payments Based on Input Use,2006,SRDmn,0,SRDmn
SURINAME,Poultry meat,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,24.63,%
SURINAME,Poultry meat,Producer Single Commodity Transfers (PSCT),2006,SRDmn,13.6,SRDmn
SURINAME,Poultry meat,Support Based on Commodity Outputs,2006,SRDmn,13.6,SRDmn
SURINAME,Poultry meat,Value of Production (at farm gate),2006,SRDmn,55.23,SRDmn
SURINAME,Poultry meat,Variable Input Use,2006,SRDmn,0,SRDmn
BOLIVIA,Beef and veal,Fixed Capital Formation,2007,BOBmn,0,BOBmn
BOLIVIA,Beef and veal,Level of Production,2007,000t,183.98,000t
BOLIVIA,Beef and veal,Market Price Support (MPS),2007,BOBmn,-124.99,BOBmn
BOLIVIA,Beef and veal,On-farm Services,2007,BOBmn,0.33,BOBmn
BOLIVIA,Beef and veal,Payments Based on Input Use,2007,BOBmn,0.69,BOBmn
BOLIVIA,Beef and veal,Payments Based on Output,2007,BOBmn,0,BOBmn
BOLIVIA,Beef and veal,Percentage Producer Single Commodity Transfers (PSCTP),2007,%,-8.39,%
BOLIVIA,Beef and veal,Producer Single Commodity Transfers (PSCT),2007,BOBmn,-124.3,BOBmn
BOLIVIA,Beef and veal,Support Based on Commodity Outputs,2007,BOBmn,-124.99,BOBmn
BOLIVIA,Beef and veal,Value of Production (at farm gate),2007,BOBmn,1481.09,BOBmn
BOLIVIA,Beef and veal,Variable Input Use,2007,BOBmn,0.36,BOBmn
BOLIVIA,Pig meat,Fixed Capital Formation,2007,BOBmn,0,BOBmn
BOLIVIA,Pig meat,Level of Production,2007,000t,76.38,000t
BOLIVIA,Pig meat,Market Price Support (MPS),2007,BOBmn,-480.28,BOBmn
BOLIVIA,Pig meat,On-farm Services,2007,BOBmn,0,BOBmn
BOLIVIA,Pig meat,Payments Based on Input Use,2007,BOBmn,0,BOBmn
BOLIVIA,Pig meat,Payments Based on Output,2007,BOBmn,0,BOBmn
BOLIVIA,Pig meat,Percentage Producer Single Commodity Transfers (PSCTP),2007,%,-79.2,%
BOLIVIA,Pig meat,Producer Single Commodity Transfers (PSCT),2007,BOBmn,-480.28,BOBmn
BOLIVIA,Pig meat,Support Based on Commodity Outputs,2007,BOBmn,-480.28,BOBmn
BOLIVIA,Pig meat,Value of Production (at farm gate),2007,BOBmn,606.39,BOBmn
BOLIVIA,Pig meat,Variable Input Use,2007,BOBmn,0,BOBmn
BOLIVIA,Poultry meat,Fixed Capital Formation,2007,BOBmn,0,BOBmn
BOLIVIA,Poultry meat,Level of Production,2007,000t,169.63,000t
BOLIVIA,Poultry meat,Market Price Support (MPS),2007,BOBmn,-481.78,BOBmn
BOLIVIA,Poultry meat,On-farm Services,2007,BOBmn,0,BOBmn
BOLIVIA,Poultry meat,Payments Based on Input Use,2007,BOBmn,0,BOBmn
BOLIVIA,Poultry meat,Payments Based on Output,2007,BOBmn,0,BOBmn
BOLIVIA,Poultry meat,Percentage Producer Single Commodity Transfers (PSCTP),2007,%,-44.59,%
BOLIVIA,Poultry meat,Producer Single Commodity Transfers (PSCT),2007,BOBmn,-481.78,BOBmn
BOLIVIA,Poultry meat,Support Based on Commodity Outputs,2007,BOBmn,-481.78,BOBmn
BOLIVIA,Poultry meat,Value of Production (at farm gate),2007,BOBmn,1080.52,BOBmn
BOLIVIA,Poultry meat,Variable Input Use,2007,BOBmn,0,BOBmn
BOLIVIA,Sugar,Fixed Capital Formation,2007,BOBmn,0,BOBmn
BOLIVIA,Sugar,Level of Production,2007,000t,547.17,000t
BOLIVIA,Sugar,Market Price Support (MPS),2007,BOBmn,0,BOBmn
BOLIVIA,Sugar,On-farm Services,2007,BOBmn,0,BOBmn
BOLIVIA,Sugar,Payments Based on Input Use,2007,BOBmn,0,BOBmn
BOLIVIA,Sugar,Payments Based on Output,2007,BOBmn,0,BOBmn
BOLIVIA,Sugar,Percentage Producer Single Commodity Transfers (PSCTP),2007,%,0,%
BOLIVIA,Sugar,Producer Single Commodity Transfers (PSCT),2007,BOBmn,0.01,BOBmn
BOLIVIA,Sugar,Support Based on Commodity Outputs,2007,BOBmn,0,BOBmn
BOLIVIA,Sugar,Value of Production (at farm gate),2007,BOBmn,974.78,BOBmn
DOMINICAN REPUBLIC,Beef and veal,Fixed Capital Formation,2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Level of Production,2007,000t,101.1,000t
DOMINICAN REPUBLIC,Beef and veal,Market Price Support (MPS),2007,DOPmn,5685.25,DOPmn
DOMINICAN REPUBLIC,Beef and veal,On-farm Services,2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Beef and veal,"Payments Based on Current A/AN/R/I, Production Required",2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Payments Based on Input Use,2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Beef and veal,"Payments Based on Non-current A/AN/R/I, Production Required",2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Payments Based on Output,2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Percentage Producer Single Commodity Transfers (PSCTP),2007,%,35.56,%
DOMINICAN REPUBLIC,Beef and veal,Producer Single Commodity Transfers (PSCT),2007,DOPmn,5685.25,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Support Based on Commodity Outputs,2007,DOPmn,5685.25,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Value of Production (at farm gate),2007,DOPmn,15989.51,DOPmn
DOMINICAN REPUBLIC,Beef and veal,Variable Input Use,2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,Fixed Capital Formation,2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,Level of Production,2007,000t,79.48,000t
DOMINICAN REPUBLIC,Pig meat,Market Price Support (MPS),2007,DOPmn,3167.32,DOPmn
DOMINICAN REPUBLIC,Pig meat,On-farm Services,2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,"Payments Based on Current A/AN/R/I, Production Required",2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,Payments Based on Input Use,2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,"Payments Based on Non-current A/AN/R/I, Production Required",2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,Payments Based on Output,2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Pig meat,Percentage Producer Single Commodity Transfers (PSCTP),2007,%,48.89,%
DOMINICAN REPUBLIC,Pig meat,Producer Single Commodity Transfers (PSCT),2007,DOPmn,3167.32,DOPmn
DOMINICAN REPUBLIC,Pig meat,Support Based on Commodity Outputs,2007,DOPmn,3167.32,DOPmn
DOMINICAN REPUBLIC,Pig meat,Value of Production (at farm gate),2007,DOPmn,6478.76,DOPmn
DOMINICAN REPUBLIC,Pig meat,Variable Input Use,2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Poultry meat,Fixed Capital Formation,2007,DOPmn,0,DOPmn
DOMINICAN REPUBLIC,Poultry meat,Level of Production,2007,000t,139.69,000t
DOMINICAN REPUBLIC,Poultry meat,Market Price Support (MPS),2007,DOPmn,11026.7,DOPmn
